| 法术名
 | 植物交谈Speak with Plants
 | 三环
 | 变化
 | 诗 德 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 蛛行术Spider Climb
 | 二环
 | 变化
 | 术 法 械 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 荆棘丛生Spike Growth
 | 二环
 | 变化
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 灵体卫士Spirit Guardians
 | 三环
 | 咒法
 | 牧
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 灵体武器Spiritual Weapon
 | 二环
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 惊惧斩Staggering Smite
 | 四环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 钢风斩Steel Wind Strike
 | 五环
 | 咒法
 | 软 法
 | ×
 | S
 | M*
 | ×
 | ×
 | XGE
 | 臭云术Stinking Cloud
 | 三环
 | 咒法
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 塑石术Stone Shape
 | 四环
 | 变化
 | 牧 德 法 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 石肤术Stoneskin
 | 四环
 | 防护
 | 德 软 术 法 械
 | V
 | S
 | M*
 | ×
 | √
 | PHB14
 | 复仇风暴Storm of Vengeance
 | 九环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 暗示术Suggestion
 | 二环
 | 惑控
 | 诗 术 法 锁
 | V
 | ×
 | M
 | ×
 | √
 | PHB14
 | 异怪召唤术Summon Aberration
 | 四环
 | 咒法
 | 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 野兽召唤术Summon Beast
 | 二环
 | 咒法
 | 德 软
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 天界召唤术Summon Celestial
 | 五环
 | 咒法
 | 牧 帕
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 构装召唤术Summon Construct
 | 四环
 | 咒法
 | 法 械
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 元素召唤术Summon Elemental
 | 四环
 | 咒法
 | 德 软 法
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 精类召唤术Summon Fey
 | 三环
 | 咒法
 | 德 软 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 邪魔召唤术Summon Fiend
 | 六环
 | 咒法
 | 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 亡灵召唤术Summon Undead
 | 三环
 | 死灵
 | 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | TCE
 | 阳炎射线Sunbeam
 | 六环
 | 塑能
 | 牧 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 阳炎爆Sunburst
 | 八环
 | 塑能
 | 牧 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 迅捷箭袋Swift Quiver
 | 五环
 | 变化
 | 软
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 徽记术Symbol
 | 七环
 | 防护
 | 诗 牧 德 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 突触静止Synaptic Static
 | 五环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 塔莎狂笑术Tasha's Hideous
					Laughter
 | 一环
 | 惑控
 | 诗 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 心灵遥控Telekinesis
 | 五环
 | 变化
 | 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 心灵感应Telepathy
 | 八环
 | 塑能
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 传送术Teleport
 | 七环
 | 咒法
 | 诗 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 传送法阵Teleportation Circle
 | 五环
 | 咒法
 | 诗 术 法 锁
 | V
 | ×
 | M*
 | ×
 | ×
 | PHB14
 | 谭森浮碟术Tenser's Floating
					Disk
 | 一环
 | 咒法
 | 法
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 奇术Thaumaturgy
 | 戏法(零环)
 | 变化
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 荆棘之鞭Thorn Whip
 | 戏法(零环)
 | 变化
 | 德 械
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 鸣雷破Thunderclap
 | 戏法(零环)
 | 塑能
 | 诗 德 术 法 械 锁
 | ×
 | S
 | ×
 | ×
 | ×
 | XGE
 | 雷鸣斩Thunderous Smite
 | 一环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 雷鸣波Thunderwave
 | 一环
 | 塑能
 | 诗 德 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 时间停止Time Stop
 | 九环
 | 变化
 | 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 亡者丧钟Toll the Dead
 | 戏法(零环)
 | 死灵
 | 牧 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 巧言术Tongues
 | 三环
 | 预言
 | 诗 牧 术 法 锁
 | V
 | ×
 | M
 | ×
 | ×
 | PHB14
 | 木遁术Transport via Plants
 | 六环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
 | 树跃术Tree Stride
 | 五环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 完全变形术True Polymorph
 | 九环
 | 变化
 | 诗 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 完全复生术True Resurrection
 | 九环
 | 死灵
 | 牧 德
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 真知术True Seeing
 | 六环
 | 预言
 | 诗 牧 术 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 克敌机先True Strike
 | 戏法(零环)
 | 预言
 | 诗 术 法 锁
 | ×
 | S
 | ×
 | ×
 | √
 | PHB14
 | 海啸术Tsunami
 | 八环
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 隐形仆役Unseen Servant
 | 一环
 | 咒法
 | 诗 法 锁
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 吸血鬼之触Vampiric Touch
 | 三环
 | 死灵
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 恶言相加Vicious Mockery
 | 戏法(零环)
 | 惑控
 | 诗
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 浓酸球Vitriolic Sphere
 | 四环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | XGE
 | 火墙术Wall of Fire
 | 四环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 力场墙Wall of Force
 | 五环
 | 塑能
 | 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 冰墙术Wall of Ice
 | 六环
 | 塑能
 | 法
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 石墙术Wall of Stone
 | 五环
 | 塑能
 | 德 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 棘墙术Wall of Thorns
 | 六环
 | 咒法
 | 德
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 守护之链Warding Bond
 | 二环
 | 防护
 | 牧 帕
 | V
 | S
 | M*
 | ×
 | ×
 | PHB14
 | 水下呼吸Water Breathing
 | 三环
 | 变化
 | 德 软 术 法 械
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 水上行走Water Walk
 | 三环
 | 变化
 | 牧 德 软 术 械
 | V
 | S
 | M
 | √
 | ×
 | PHB14
 | 蛛网术Web
 | 二环
 | 咒法
 | 术 法 械
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 怪影杀手Weird
 | 九环
 | 幻术
 | 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB14
 | 御风而行Wind Walk
 | 六环
 | 变化
 | 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB14
 | 风墙术Wind Wall
 | 三环
 | 塑能
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 祈愿术Wish
 | 九环
 | 咒法
 | 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 巫术箭Witch Bolt
 | 一环
 | 塑能
 | 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB14
 | 光耀祷词Word of Radiance
 | 戏法(零环)
 | 塑能
 | 牧
 | V
 | ×
 | M
 | ×
 | ×
 | XGE
 | 回返真言Word of Recall
 | 六环
 | 咒法
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB14
 | 激愤斩Wrathful Smite
 | 一环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB14
 | 诚实之域Zone of Truth
 | 二环
 | 惑控
 | 诗 牧 帕
 | V
 | S
 | ×
 | ×
 | ×
 | PHB14
